Date,Day_of_week,Holiday,Moon_Phase,Average_wind,Max_temp,Min_temp,Total_precipitation,Average_mslp,Holiday_prev,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7
25-abr-18,3,0,73,1.64821413,296.39468,283.5293,0.007446289,101854.8619,0.0,57.0,60.0,69.0,58.0,46.0,48.0,47.0,40,46.0,41.0,31.0,48.0,44.0,47.0
26-abr-18,4,0,82,3.877631248,296.39468,284.18268,0.001953125,101977.2632,0.0,40.0,57.0,60.0,69.0,58.0,46.0,48.0,46,41.0,31.0,48.0,44.0,47.0,40.0
27-abr-18,5,0,89,4.002385255,296.39468,280.94568,0.001220703,101994.5156,0.0,46.0,40.0,57.0,60.0,69.0,58.0,46.0,41,31.0,48.0,44.0,47.0,40.0,49.0
28-abr-18,6,0,95,4.002385255,290.44763,278.7543,0.001342773,101853.2733,0.0,41.0,46.0,40.0,57.0,60.0,69.0,58.0,31,48.0,44.0,47.0,40.0,49.0,43.0
29-abr-18,7,0,98,4.002385255,290.60425,278.7543,0.09765625,101477.7192,0.0,31.0,41.0,46.0,40.0,57.0,60.0,69.0,48,44.0,47.0,40.0,49.0,43.0,48.0
30-abr-18,1,0,100,3.337531252,290.60425,278.7543,0.235351563,101049.2854,0.0,48.0,31.0,41.0,46.0,40.0,57.0,60.0,44,47.0,40.0,49.0,43.0,48.0,41.0
01-may-18,2,1,99,2.162830052,290.60425,277.30615,0.287231446,101039.4877,0.0,44.0,48.0,31.0,41.0,46.0,40.0,57.0,47,40.0,49.0,43.0,48.0,41.0,46.0
02-may-18,3,0,96,2.725479892,285.552,275.90466,0.205322266,101264.25,1.0,47.0,44.0,48.0,31.0,41.0,46.0,40.0,40,49.0,43.0,48.0,41.0,46.0,46.0
03-may-18,4,0,91,2.725479892,288.75946,274.88788,0.134521485,101504.866,0.0,40.0,47.0,44.0,48.0,31.0,41.0,46.0,49,43.0,48.0,41.0,46.0,46.0,39.0
04-may-18,5,0,84,5.973367495,288.75946,274.88788,0.111938476,101647.0744,0.0,49.0,40.0,47.0,44.0,48.0,31.0,41.0,43,48.0,41.0,46.0,46.0,39.0,35.0
05-may-18,6,0,76,5.973367495,288.75946,274.88788,0.09765625,101733.5041,0.0,43.0,49.0,40.0,47.0,44.0,48.0,31.0,48,41.0,46.0,46.0,39.0,35.0,48.0
06-may-18,7,0,66,5.973367495,289.2552,280.20563,0.030395508,101886.8098,0.0,48.0,43.0,49.0,40.0,47.0,44.0,48.0,41,46.0,46.0,39.0,35.0,48.0,47.0
07-may-18,1,0,56,5.779674628,295.65784,279.36368,0.000854492,101859.8249,0.0,41.0,48.0,43.0,49.0,40.0,47.0,44.0,46,46.0,39.0,35.0,48.0,47.0,46.0
08-may-18,2,0,45,3.675059743,296.09412,279.36368,0.0,101732.7337,0.0,46.0,41.0,48.0,43.0,49.0,40.0,47.0,46,39.0,35.0,48.0,47.0,46.0,44.0
09-may-18,3,0,35,3.486185602,296.09412,279.36368,0.002075195,101587.3699,0.0,46.0,46.0,41.0,48.0,43.0,49.0,40.0,39,35.0,48.0,47.0,46.0,44.0,52.0
10-may-18,4,0,25,3.486185602,296.09412,281.9878,0.008178711,101470.2565,0.0,39.0,46.0,46.0,41.0,48.0,43.0,49.0,35,48.0,47.0,46.0,44.0,52.0,38.0
11-may-18,5,0,16,3.720165459,290.35315,278.51422,0.01928711,101601.1603,0.0,35.0,39.0,46.0,46.0,41.0,48.0,43.0,48,47.0,46.0,44.0,52.0,38.0,45.0
12-may-18,6,0,9,3.720165459,294.9231,274.7121,0.025024414,101671.4913,0.0,48.0,35.0,39.0,46.0,46.0,41.0,48.0,47,46.0,44.0,52.0,38.0,45.0,36.0
13-may-18,7,0,4,3.720165459,294.9231,274.7121,0.541503901,101775.6581,0.0,47.0,48.0,35.0,39.0,46.0,46.0,41.0,46,44.0,52.0,38.0,45.0,36.0,55.0
14-may-18,1,0,1,3.631984756,294.9231,274.7121,0.612426753,101852.7708,0.0,46.0,47.0,48.0,35.0,39.0,46.0,46.0,44,52.0,38.0,45.0,36.0,55.0,55.0
15-may-18,2,0,0,3.929611226,286.2025,275.7952,0.714355463,102021.0756,0.0,44.0,46.0,47.0,48.0,35.0,39.0,46.0,52,38.0,45.0,36.0,55.0,55.0,48.0
16-may-18,3,0,1,4.519466067,286.80798,275.7952,0.192138672,102190.1183,0.0,52.0,44.0,46.0,47.0,48.0,35.0,39.0,38,45.0,36.0,55.0,55.0,48.0,48.0
17-may-18,4,0,5,4.519466067,288.61194,279.22076,0.110229491,102142.7538,0.0,38.0,52.0,44.0,46.0,47.0,48.0,35.0,45,36.0,55.0,55.0,48.0,48.0,33.0
18-may-18,5,0,10,4.519466067,290.45532,280.16898,0.000488281,102007.6981,0.0,45.0,38.0,52.0,44.0,46.0,47.0,48.0,36,55.0,55.0,48.0,48.0,33.0,36.0
19-may-18,6,0,18,3.443137922,292.64038,280.16898,0.000854492,101865.6869,0.0,36.0,45.0,38.0,52.0,44.0,46.0,47.0,55,55.0,48.0,48.0,33.0,36.0,39.0
20-may-18,7,0,26,2.989435739,293.25354,280.79404,0.000732422,101797.7944,0.0,55.0,36.0,45.0,38.0,52.0,44.0,46.0,55,48.0,48.0,33.0,36.0,39.0,43.0
21-may-18,1,0,36,2.863972178,293.25354,281.0786,0.020263672,101719.8994,0.0,55.0,55.0,36.0,45.0,38.0,52.0,44.0,48,48.0,33.0,36.0,39.0,43.0,40.0
22-may-18,2,0,47,2.863972178,294.7055,281.0786,0.056518554,101503.5791,0.0,48.0,55.0,55.0,36.0,45.0,38.0,52.0,48,33.0,36.0,39.0,43.0,40.0,45.0
23-may-18,3,0,57,2.148486823,294.7055,281.0786,0.056884765,101391.6381,0.0,48.0,48.0,55.0,55.0,36.0,45.0,38.0,33,36.0,39.0,43.0,40.0,45.0,37.0
